datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
40544,1,0,0,1,9.84,14.395,81,0,3,13,16
40544.04167,1,0,0,1,9.02,13.635,80,0,8,32,40
40544.08333,1,0,0,1,9.02,13.635,80,0,5,27,32
40544.125,1,0,0,1,9.84,14.395,75,0,3,10,13
40544.16667,1,0,0,1,9.84,14.395,75,0,0,1,1
40544.20833,1,0,0,2,9.84,12.88,75,6.0032,0,1,1
40544.25,1,0,0,1,9.02,13.635,80,0,2,0,2
40544.29167,1,0,0,1,8.2,12.88,86,0,1,2,3
40544.33333,1,0,0,1,9.84,14.395,75,0,1,7,8
40544.375,1,0,0,1,13.12,17.425,76,0,8,6,14
40544.41667,1,0,0,1,15.58,19.695,76,16.9979,12,24,36
40544.45833,1,0,0,1,14.76,16.665,81,19.0012,26,30,56
40544.5,1,0,0,1,17.22,21.21,77,19.0012,29,55,84
40544.54167,1,0,0,2,18.86,22.725,72,19.9995,47,47,94
40544.58333,1,0,0,2,18.86,22.725,72,19.0012,35,71,106
40544.625,1,0,0,2,18.04,21.97,77,19.9995,40,70,110
40544.66667,1,0,0,2,17.22,21.21,82,19.9995,41,52,93
40544.70833,1,0,0,2,18.04,21.97,82,19.0012,15,52,67
40544.75,1,0,0,3,17.22,21.21,88,16.9979,9,26,35
40544.79167,1,0,0,3,17.22,21.21,88,16.9979,6,31,37
40544.83333,1,0,0,2,16.4,20.455,87,16.9979,11,25,36
40544.875,1,0,0,2,16.4,20.455,87,12.998,3,31,34
40544.91667,1,0,0,2,16.4,20.455,94,15.0013,11,17,28
40544.95833,1,0,0,2,18.86,22.725,88,19.9995,15,24,39
40545,1,0,0,2,18.86,22.725,88,19.9995,4,13,17
40545.04167,1,0,0,2,18.04,21.97,94,16.9979,1,16,17
40545.08333,1,0,0,2,17.22,21.21,100,19.0012,1,8,9
40545.125,1,0,0,2,18.86,22.725,94,12.998,2,4,6
40545.16667,1,0,0,2,18.86,22.725,94,12.998,2,1,3
40545.25,1,0,0,3,17.22,21.21,77,19.9995,0,2,2
40545.29167,1,0,0,2,16.4,20.455,76,12.998,0,1,1
40545.33333,1,0,0,3,16.4,20.455,71,15.0013,0,8,8
40545.375,1,0,0,2,15.58,19.695,76,15.0013,1,19,20
40545.41667,1,0,0,2,14.76,17.425,81,15.0013,7,46,53
40545.45833,1,0,0,2,14.76,16.665,71,16.9979,16,54,70
40545.5,1,0,0,2,14.76,16.665,66,19.9995,20,73,93
40545.54167,1,0,0,2,14.76,17.425,66,8.9981,11,64,75
40545.58333,1,0,0,3,14.76,17.425,76,12.998,4,55,59
40545.625,1,0,0,3,13.94,16.665,81,11.0014,19,55,74
40545.66667,1,0,0,3,13.94,16.665,71,11.0014,9,67,76
40545.70833,1,0,0,1,13.94,16.665,57,12.998,7,58,65
40545.75,1,0,0,2,14.76,16.665,46,22.0028,10,43,53
40545.79167,1,0,0,1,13.12,14.395,42,30.0026,1,29,30
40545.83333,1,0,0,1,12.3,13.635,39,23.9994,5,17,22
40545.875,1,0,0,1,10.66,11.365,44,22.0028,11,20,31
40545.91667,1,0,0,1,9.84,10.605,44,19.9995,0,9,9
40545.95833,1,0,0,1,9.02,11.365,47,11.0014,0,8,8
40546,1,0,1,1,9.02,9.85,44,23.9994,0,5,5
40546.04167,1,0,1,1,8.2,8.335,44,27.9993,0,2,2
40546.16667,1,0,1,1,6.56,6.82,47,26.0027,0,1,1
40546.20833,1,0,1,1,6.56,6.82,47,19.0012,0,3,3
40546.25,1,0,1,1,5.74,5.305,50,26.0027,0,30,30
40546.29167,1,0,1,1,5.74,6.82,50,12.998,1,63,64
40546.33333,1,0,1,1,5.74,6.06,50,19.0012,1,153,154
40546.375,1,0,1,1,6.56,6.82,43,26.0027,7,81,88
40546.41667,1,0,1,1,7.38,8.335,43,16.9979,11,33,44
40546.45833,1,0,1,1,8.2,9.09,40,22.0028,10,41,51
40546.5,1,0,1,1,9.02,10.605,35,19.9995,13,48,61
40546.54167,1,0,1,1,9.84,10.605,35,19.0012,8,53,61
40546.58333,1,0,1,1,10.66,12.12,30,19.0012,11,66,77
40546.625,1,0,1,1,10.66,12.12,30,16.9979,14,58,72
40546.66667,1,0,1,1,10.66,12.12,30,16.9979,9,67,76
40546.70833,1,0,1,1,9.84,11.365,30,15.0013,11,146,157
40546.75,1,0,1,1,9.84,12.88,32,7.0015,9,148,157
40546.79167,1,0,1,1,8.2,12.88,47,0,8,102,110
40546.83333,1,0,1,1,8.2,11.365,47,7.0015,3,49,52
40546.875,1,0,1,1,7.38,9.85,64,8.9981,3,49,52
40546.91667,1,0,1,1,5.74,7.575,69,8.9981,0,20,20
40546.95833,1,0,1,1,7.38,10.605,55,7.0015,1,11,12
40547,1,0,1,1,6.56,9.09,55,7.0015,0,5,5
40547.04167,1,0,1,1,6.56,9.09,59,7.0015,0,2,2
40547.08333,1,0,1,1,5.74,7.575,63,8.9981,0,1,1
40547.16667,1,0,1,1,5.74,9.09,63,6.0032,0,2,2
40547.20833,1,0,1,1,4.92,7.575,68,7.0015,0,4,4
40547.25,1,0,1,1,4.92,7.575,74,7.0015,0,36,36
40547.29167,1,0,1,1,4.92,7.575,74,8.9981,2,92,94
40547.33333,1,0,1,1,5.74,7.575,69,11.0014,2,177,179
40547.375,1,0,1,1,6.56,7.575,64,15.0013,2,98,100
40547.41667,1,0,1,2,6.56,6.82,69,22.0028,5,37,42
40547.45833,1,0,1,1,9.02,10.605,51,19.9995,7,50,57
40547.5,1,0,1,1,9.02,11.365,51,11.0014,12,66,78
40547.54167,1,0,1,1,9.84,11.365,56,12.998,18,79,97
40547.58333,1,0,1,1,10.66,12.88,52,15.0013,9,54,63
40547.625,1,0,1,1,11.48,13.635,52,16.9979,17,48,65
40547.66667,1,0,1,1,12.3,14.395,49,16.9979,15,68,83
40547.70833,1,0,1,1,11.48,13.635,48,15.0013,10,202,212
40547.75,1,0,1,1,10.66,12.88,48,12.998,3,179,182
40547.79167,1,0,1,1,9.84,12.88,48,7.0015,2,110,112
40547.83333,1,0,1,1,9.84,12.88,48,7.0015,1,53,54
40547.875,1,0,1,1,9.02,13.635,64,0,0,48,48
40547.91667,1,0,1,1,9.02,12.88,64,6.0032,1,34,35
40547.95833,1,0,1,1,8.2,11.365,69,6.0032,2,9,11
40548,1,0,1,1,8.2,12.88,64,0,0,6,6
40548.04167,1,0,1,1,6.56,9.85,74,6.0032,0,6,6
40548.08333,1,0,1,1,6.56,9.85,74,6.0032,0,2,2
40548.16667,1,0,1,1,9.84,11.365,48,15.0013,0,2,2
40548.20833,1,0,1,1,9.02,11.365,47,11.0014,0,3,3
40548.25,1,0,1,1,8.2,9.85,47,15.0013,0,33,33
40548.29167,1,0,1,1,7.38,9.09,43,12.998,1,87,88
40548.33333,1,0,1,1,8.2,9.09,40,19.9995,3,192,195
40548.375,1,0,1,1,9.02,9.85,37,22.0028,6,109,115
40548.41667,1,0,1,1,9.02,9.85,37,22.0028,4,53,57
40548.45833,1,0,1,1,10.66,11.365,33,22.0028,12,34,46
40548.5,1,0,1,1,10.66,11.365,33,22.0028,5,74,79
40548.54167,1,0,1,1,11.48,12.88,30,19.9995,6,65,71
40548.58333,1,0,1,1,12.3,14.395,28,12.998,10,52,62
40548.625,1,0,1,1,12.3,14.395,28,12.998,7,55,62
40548.66667,1,0,1,1,12.3,15.91,28,6.0032,4,85,89
40548.70833,1,0,1,1,9.84,11.365,38,12.998,4,186,190
40548.75,1,0,1,1,9.84,12.12,38,8.9981,3,166,169
40548.79167,1,0,1,1,9.84,12.88,38,7.0015,5,127,132
40548.83333,1,0,1,1,9.02,11.365,47,11.0014,7,82,89
40548.875,1,0,1,1,8.2,9.85,51,12.998,3,40,43
40548.91667,1,0,1,1,7.38,9.85,55,8.9981,1,41,42
40548.95833,1,0,1,1,8.2,12.88,47,0,1,18,19
40549,1,0,1,1,7.38,12.12,55,0,0,11,11
40549.04167,1,0,1,1,6.56,11.365,64,0,0,4,4
40549.08333,1,0,1,1,6.56,11.365,64,0,0,2,2
40549.16667,1,0,1,2,6.56,9.85,64,6.0032,0,1,1
40549.20833,1,0,1,2,5.74,9.09,69,6.0032,0,4,4
40549.25,1,0,1,2,5.74,8.335,63,7.0015,0,36,36
40549.29167,1,0,1,2,6.56,11.365,59,0,0,95,95
40549.33333,1,0,1,1,6.56,11.365,59,0,3,216,219
40549.375,1,0,1,2,7.38,12.12,51,0,6,116,122
40549.41667,1,0,1,1,8.2,12.88,47,0,3,42,45
40549.45833,1,0,1,1,9.02,12.88,44,6.0032,2,57,59
40549.5,1,0,1,1,10.66,14.395,35,0,6,78,84
40549.54167,1,0,1,1,10.66,13.635,35,7.0015,12,55,67
40549.58333,1,0,1,1,11.48,13.635,36,11.0014,11,59,70
40549.625,1,0,1,1,11.48,13.635,36,0,8,54,62
40549.66667,1,0,1,1,10.66,12.88,38,11.0014,12,74,86
40549.70833,1,0,1,1,9.02,11.365,51,11.0014,9,163,172
40549.75,1,0,1,1,9.02,11.365,51,8.9981,5,158,163
40549.79167,1,0,1,1,9.02,12.88,55,6.0032,3,109,112
40549.83333,1,0,1,1,8.2,10.605,51,11.0014,3,66,69
40549.875,1,0,1,2,9.02,10.605,55,15.0013,0,48,48
40549.91667,1,0,1,2,9.02,10.605,51,19.0012,1,51,52
40549.95833,1,0,1,2,8.2,9.85,59,12.998,4,19,23
40550,1,0,1,2,8.2,9.85,64,12.998,4,13,17
40550.04167,1,0,1,2,8.2,9.85,69,15.0013,2,5,7
40550.08333,1,0,1,2,8.2,9.85,69,15.0013,0,1,1
40550.16667,1,0,1,2,8.2,10.605,69,8.9981,0,1,1
40550.20833,1,0,1,3,9.02,13.635,55,0,0,5,5
40550.25,1,0,1,2,8.2,12.88,69,0,8,26,34
40550.29167,1,0,1,1,8.2,10.605,69,8.9981,8,76,84
40550.33333,1,0,1,1,8.2,9.85,51,16.9979,20,190,210
40550.375,1,0,1,1,8.2,9.09,47,19.9995,9,125,134
40550.41667,1,0,1,1,9.02,9.85,37,22.0028,16,47,63
40550.45833,1,0,1,2,8.2,9.85,40,15.0013,19,48,67
40550.5,1,0,1,2,8.2,9.85,37,16.9979,9,50,59
40550.54167,1,0,1,2,8.2,9.09,37,19.0012,9,64,73
40550.58333,1,0,1,2,8.2,9.85,40,16.9979,7,43,50
40550.625,1,0,1,2,8.2,10.605,37,11.0014,9,63,72
40550.66667,1,0,1,2,8.2,10.605,37,11.0014,5,82,87
40550.70833,1,0,1,2,8.2,12.88,37,0,9,178,187
40550.75,1,0,1,1,8.2,11.365,40,6.0032,7,116,123
40550.79167,1,0,1,1,6.56,9.85,55,6.0032,3,92,95
40550.83333,1,0,1,1,7.38,10.605,47,7.0015,1,50,51
40550.875,1,0,1,1,7.38,9.85,47,8.9981,0,39,39
40550.91667,1,0,1,2,7.38,9.85,43,11.0014,2,34,36
40550.95833,1,0,1,2,7.38,9.85,51,11.0014,1,14,15
40551,1,0,0,2,7.38,9.85,51,11.0014,1,24,25
40551.04167,1,0,0,2,7.38,10.605,55,6.0032,1,15,16
40551.08333,1,0,0,2,7.38,12.12,55,0,3,13,16
40551.125,1,0,0,3,7.38,9.85,55,11.0014,0,7,7
40551.16667,1,0,0,3,7.38,9.85,55,11.0014,0,1,1
40551.20833,1,0,0,2,6.56,8.335,74,11.0014,0,5,5
40551.25,1,0,0,2,6.56,8.335,74,11.0014,0,2,2
40551.29167,1,0,0,2,6.56,9.09,74,7.0015,1,8,9
40551.33333,1,0,0,3,6.56,9.09,93,7.0015,0,15,15
40551.375,1,0,0,3,6.56,9.09,93,7.0015,0,20,20
40551.41667,1,0,0,2,7.38,9.85,80,11.0014,5,56,61
40551.45833,1,0,0,2,8.2,9.09,69,26.0027,2,60,62
40551.5,1,0,0,2,8.2,9.09,59,23.9994,8,90,98
40551.54167,1,0,0,1,8.2,9.09,44,22.0028,7,95,102
40551.58333,1,0,0,1,8.2,8.335,32,32.9975,12,83,95
40551.625,1,0,0,1,8.2,8.335,32,30.0026,5,69,74
40551.66667,1,0,0,1,7.38,6.82,29,30.0026,8,68,76
40551.70833,1,0,0,1,6.56,6.06,37,36.9974,5,64,69
40551.75,1,0,0,1,5.74,6.06,39,19.9995,3,52,55
40551.79167,1,0,0,1,5.74,6.06,36,16.9979,4,26,30
40551.83333,1,0,0,1,4.92,6.06,36,16.9979,0,28,28
40551.875,1,0,0,1,4.92,5.305,39,23.9994,2,35,37
40551.91667,1,0,0,1,4.92,5.305,36,26.0027,1,33,34
40551.95833,1,0,0,1,4.1,3.03,39,30.0026,0,22,22
40552,1,0,0,1,4.1,3.79,42,26.0027,1,24,25
40552.04167,1,0,0,1,4.1,3.03,42,31.0009,0,12,12
40552.08333,1,0,0,1,4.1,3.03,46,31.0009,0,11,11
40552.125,1,0,0,1,4.1,3.79,46,27.9993,0,4,4
40552.16667,1,0,0,1,3.28,4.545,53,12.998,0,1,1
40552.20833,1,0,0,1,3.28,4.545,53,12.998,0,1,1
40552.25,1,0,0,1,4.1,4.545,49,19.0012,0,1,1
40552.29167,1,0,0,1,3.28,4.545,53,12.998,1,5,6
40552.33333,1,0,0,1,4.1,4.545,49,19.0012,0,10,10
40552.375,1,0,0,1,4.92,3.79,46,35.0008,0,19,19
40552.41667,1,0,0,1,5.74,5.305,43,26.0027,0,49,49
40552.45833,1,0,0,1,6.56,6.06,40,35.0008,2,47,49
40552.5,1,0,0,1,7.38,6.82,37,30.0026,4,79,83
40552.54167,1,0,0,1,8.2,8.335,34,30.0026,6,69,75
40552.58333,1,0,0,1,9.02,9.09,32,31.0009,8,64,72
40552.625,1,0,0,1,9.02,9.85,35,23.9994,5,77,82
40552.66667,1,0,0,1,8.2,8.335,34,30.0026,13,79,92
40552.70833,1,0,0,1,7.38,7.575,37,26.0027,3,59,62
40552.75,1,0,0,1,6.56,6.82,40,22.0028,4,44,48
40552.79167,1,0,0,1,6.56,6.82,43,22.0028,1,40,41
40552.83333,1,0,0,1,5.74,6.06,46,16.9979,0,38,38
40552.875,1,0,0,1,5.74,5.305,46,27.9993,1,19,20
40552.91667,1,0,0,1,5.74,6.06,46,19.9995,5,10,15
40552.95833,1,0,0,1,4.92,6.82,50,12.998,0,6,6
40553,1,0,1,1,4.92,6.06,50,19.0012,2,3,5
40553.04167,1,0,1,1,4.92,6.06,50,19.0012,1,0,1
40553.08333,1,0,1,1,4.92,6.06,50,15.0013,0,3,3
40553.125,1,0,1,1,4.92,6.06,50,15.0013,0,1,1
40553.16667,1,0,1,1,4.1,6.06,54,8.9981,1,2,3
40553.20833,1,0,1,1,4.1,5.305,54,16.9979,0,3,3
40553.25,1,0,1,1,4.92,6.06,50,19.0012,0,31,31
40553.29167,1,0,1,1,4.92,6.06,50,15.0013,2,75,77
40553.33333,1,0,1,2,4.92,6.06,50,19.0012,4,184,188
40553.375,1,0,1,2,5.74,6.06,50,16.9979,2,92,94
40553.41667,1,0,1,2,5.74,6.06,50,19.9995,0,31,31
40553.45833,1,0,1,2,6.56,6.82,47,19.0012,2,28,30
40553.5,1,0,1,2,8.2,9.09,40,19.0012,5,47,52
40553.54167,1,0,1,2,8.2,9.09,40,19.0012,4,50,54
